"Heaving frequency in [Hz],  from motor excitations",Wind speed [m/s],0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1.0,10,0.981,0.0315,0.9855,0.058,1.0,0.929,0.0265,0.8175,0.9255,0.9275,0.0,0.098,1.0,0.802,0.159,0.1795,0.099,0.0,0.749,0.2745,0.817,1.0,0.4565,1.0,0.2315,0.049,0.186,0.253,0.1865,0.817,0.8195,0.2365,0.3665,0.3545,0.1245,0.8755,0.1245,0.605,0.605,0.882
1.0,10,0.9795,0.0315,0.9855,0.0575,1.0,0.926,0.0265,0.8175,0.926,0.9275,0.0,0.0915,1.0,0.8025,0.1565,0.177,0.099,0.0,0.7485,0.2745,0.817,1.0,0.457,1.0,0.239,0.063,0.1935,0.228,0.185,0.817,0.832,0.2325,0.357,0.3605,0.1245,0.8755,0.121,0.6215,0.6005,0.9055
1.0,10,0.9815,0.0315,0.9855,0.058,1.0,0.9295,0.0265,0.8175,0.9265,0.928,0.0,0.0955,1.0,0.803,0.14,0.1685,0.099,0.0,0.753,0.2745,0.817,1.0,0.4525,1.0,0.238,0.0605,0.1795,0.2245,0.184,0.817,0.84,0.2275,0.3605,0.3615,0.1245,0.8755,0.115,0.602,0.5955,0.9485
1.0,10,0.9805,0.0315,0.9855,0.058,1.0,0.928,0.0265,0.8175,0.9265,0.929,0.0,0.0885,1.0,0.802,0.1375,0.1655,0.099,0.0,0.764,0.2745,0.817,1.0,0.4545,1.0,0.226,0.0675,0.1635,0.2105,0.1855,0.817,0.8415,0.2275,0.3545,0.3455,0.1245,0.8755,0.1075,0.5855,0.583,0.9605
1.0,10,0.9815,0.0315,0.9855,0.058,1.0,0.933,0.0265,0.818,0.927,0.9295,0.0,0.089,1.0,0.8025,0.1485,0.162,0.099,0.0,0.7695,0.2745,0.817,1.0,0.451,1.0,0.214,0.063,0.1605,0.2075,0.183,0.817,0.854,0.2085,0.3455,0.348,0.1245,0.8755,0.1095,0.5885,0.5845,0.983
1.0,10,0.981,0.0315,0.9855,0.058,1.0,0.9315,0.0265,0.818,0.926,0.9295,0.0,0.082,1.0,0.8025,0.1395,0.1735,0.099,0.0,0.765,0.2745,0.817,1.0,0.452,1.0,0.2095,0.0595,0.156,0.2145,0.185,0.817,0.8445,0.214,0.347,0.3475,0.1245,0.8755,0.113,0.581,0.587,0.987
1.0,10,0.979,0.0315,0.9855,0.058,1.0,0.9255,0.0265,0.8175,0.926,0.927,0.0,0.119,1.0,0.8025,0.161,0.1805,0.099,0.0,0.74,0.2745,0.817,1.0,0.4575,1.0,0.2545,0.0655,0.235,0.2765,0.188,0.817,0.8215,0.2365,0.366,0.369,0.1245,0.8755,0.1245,0.6455,0.611,0.7935
1.0,10,0.981,0.0315,0.9855,0.058,1.0,0.924,0.0265,0.8175,0.9255,0.9275,0.0,0.095,1.0,0.803,0.152,0.173,0.099,0.0,0.7525,0.2745,0.817,1.0,0.457,1.0,0.2555,0.069,0.205,0.2505,0.1855,0.817,0.829,0.2435,0.3655,0.363,0.1245,0.8755,0.124,0.633,0.607,0.8165
1.0,10,0.981,0.0315,0.9855,0.058,1.0,0.93,0.0265,0.8175,0.926,0.927,0.0,0.095,1.0,0.802,0.142,0.1725,0.099,0.0,0.7445,0.2745,0.817,1.0,0.455,1.0,0.2425,0.0685,0.182,0.231,0.185,0.817,0.843,0.231,0.363,0.3585,0.1245,0.8755,0.12,0.603,0.602,0.911
1.0,10,0.981,0.0315,0.9855,0.058,1.0,0.93,0.0265,0.8175,0.927,0.93,0.0,0.112,1.0,0.8025,0.1575,0.1805,0.099,0.0,0.746,0.2745,0.817,1.0,0.4515,1.0,0.252,0.057,0.2205,0.2455,0.186,0.817,0.8525,0.22,0.339,0.351,0.1245,0.8755,0.1145,0.5945,0.5885,0.8935
1.0,10,0.98,0.0315,0.9855,0.0575,1.0,0.932,0.0265,0.819,0.927,0.93,0.0,0.08,1.0,0.803,0.124,0.159,0.099,0.0,0.763,0.2745,0.817,1.0,0.453,1.0,0.222,0.05,0.167,0.221,0.185,0.817,0.861,0.216,0.3275,0.346,0.1245,0.8755,0.099,0.565,0.5835,0.979
1.0,10,0.982,0.0315,0.9855,0.058,1.0,0.94,0.0265,0.8185,0.927,0.9365,0.0,0.0765,1.0,0.8035,0.1215,0.1595,0.099,0.0,0.7915,0.274,0.817,1.0,0.45,1.0,0.2145,0.051,0.134,0.18,0.183,0.817,0.8655,0.1795,0.3345,0.332,0.1245,0.8755,0.064,0.52,0.531,0.997
1.0,20,0.9895,0.021,1.0,0.0355,0.9805,1.0,0.0,0.927,0.927,0.992,0.0,0.073,1.0,0.897,0.0995,0.0495,0.0495,0.0,0.865,0.1835,0.811,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0945,0.183,0.817,0.6265,0.0,0.1245,0.3635,0.1245,0.8755,0.0,0.8525,0.1245,1.0
1.0,20,0.9895,0.021,1.0,0.0385,0.9805,1.0,0.0,0.927,0.927,0.9965,0.0,0.073,1.0,0.8995,0.0995,0.0495,0.0495,0.0,0.865,0.183,0.817,1.0,0.183,1.0,0.0915,0.0,0.0915,0.092,0.183,0.817,0.6275,0.0,0.1245,0.356,0.1245,0.8755,0.0,0.853,0.1245,1.0
1.0,20,0.9895,0.021,1.0,0.034,0.9805,1.0,0.0,0.927,0.927,0.9995,0.0,0.073,1.0,0.897,0.1,0.0495,0.0495,0.0,0.865,0.1835,0.817,1.0,0.183,1.0,0.0915,0.0,0.0915,0.093,0.183,0.817,0.6275,0.0,0.1245,0.3455,0.1245,0.8755,0.0,0.831,0.1245,1.0
1.0,20,0.9895,0.021,1.0,0.032,0.9805,1.0,0.0,0.927,0.927,0.9985,0.0,0.073,1.0,0.9005,0.099,0.0495,0.0495,0.0,0.865,0.183,0.8155,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0935,0.183,0.817,0.6265,0.0,0.1245,0.3375,0.1245,0.8755,0.0,0.8185,0.1245,1.0
1.0,20,0.9895,0.021,1.0,0.031,0.981,1.0,0.0,0.927,0.927,0.9995,0.0,0.073,1.0,0.9,0.099,0.0495,0.0495,0.0,0.865,0.1835,0.815,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0915,0.183,0.817,0.627,0.0,0.1245,0.3265,0.1245,0.8755,0.0,0.818,0.1245,1.0
1.0,20,0.9895,0.021,1.0,0.034,0.9805,1.0,0.0,0.927,0.927,1.0,0.0,0.073,1.0,0.9,0.0995,0.0495,0.0495,0.0,0.865,0.1835,0.8135,1.0,0.183,1.0,0.0915,0.0,0.0915,0.092,0.183,0.817,0.6265,0.0,0.1245,0.3175,0.1245,0.8755,0.0,0.829,0.1245,1.0
1.0,20,0.9895,0.021,1.0,0.0295,0.9815,1.0,0.0,0.927,0.927,1.0,0.0,0.073,1.0,0.901,0.099,0.0495,0.0495,0.0,0.865,0.183,0.817,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0915,0.183,0.817,0.6275,0.0,0.1245,0.282,0.1245,0.8755,0.0,0.827,0.1245,1.0
1.0,20,0.9895,0.021,1.0,0.031,0.983,1.0,0.0,0.927,0.927,1.0,0.0,0.073,1.0,0.9,0.099,0.0495,0.0495,0.0,0.865,0.183,0.817,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0925,0.183,0.817,0.6315,0.0,0.1245,0.2895,0.1245,0.8755,0.0,0.825,0.1245,1.0
1.0,20,0.9895,0.021,1.0,0.0305,0.9815,1.0,0.0,0.927,0.927,1.0,0.0,0.073,1.0,0.9,0.099,0.0495,0.0495,0.0,0.865,0.1835,0.8155,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0935,0.183,0.817,0.627,0.0,0.1245,0.279,0.1245,0.8755,0.0,0.7925,0.1245,1.0
1.0,20,0.9895,0.021,1.0,0.03,0.9835,1.0,0.0,0.927,0.927,1.0,0.0,0.073,1.0,0.901,0.099,0.0495,0.0495,0.0,0.865,0.183,0.817,1.0,0.183,1.0,0.0915,0.0,0.0915,0.092,0.183,0.817,0.629,0.0,0.1245,0.273,0.1245,0.8755,0.0,0.7815,0.1245,1.0
1.0,20,0.9895,0.021,1.0,0.0305,0.985,1.0,0.0,0.927,0.927,1.0,0.0,0.073,1.0,0.901,0.0995,0.0495,0.0495,0.0,0.865,0.183,0.817,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0915,0.183,0.817,0.6285,0.0,0.1245,0.2735,0.1245,0.8755,0.0,0.8,0.1245,1.0
1.0,20,0.9895,0.021,1.0,0.03,0.985,1.0,0.0,0.927,0.927,0.9995,0.0,0.073,1.0,0.901,0.099,0.0495,0.0495,0.0,0.865,0.183,0.817,1.0,0.183,1.0,0.0915,0.0,0.0915,0.092,0.183,0.817,0.629,0.0,0.1245,0.269,0.1245,0.8755,0.0,0.8135,0.1245,1.0
1.9,10,0.984,0.026,0.9855,0.0375,1.0,0.997,0.0265,0.922,0.927,0.9995,0.0,0.074,1.0,0.841,0.101,0.062,0.086,0.0,0.864,0.247,0.817,1.0,0.2265,1.0,0.1055,0.0005,0.092,0.107,0.183,0.817,0.8755,0.0005,0.135,0.041,0.1245,0.8755,0.0,0.4115,0.128,1.0
1.9,10,0.9885,0.028,0.9915,0.037,1.0,1.0,0.0265,0.9235,0.927,1.0,0.0,0.073,1.0,0.85,0.099,0.0575,0.079,0.0,0.865,0.246,0.817,1.0,0.213,1.0,0.1125,0.0005,0.0925,0.107,0.183,0.817,0.8755,0.0,0.1255,0.017,0.1245,0.8755,0.0,0.4045,0.1265,1.0
1.9,10,0.9895,0.029,0.998,0.039,1.0,1.0,0.0265,0.926,0.927,1.0,0.0,0.073,1.0,0.848,0.099,0.0595,0.0705,0.0,0.865,0.233,0.817,1.0,0.203,1.0,0.113,0.0,0.092,0.1035,0.183,0.817,0.8755,0.0,0.1265,0.02,0.1245,0.8755,0.0,0.404,0.1265,1.0
1.9,10,0.9895,0.025,1.0,0.036,1.0,1.0,0.025,0.927,0.927,0.9995,0.0,0.073,1.0,0.8505,0.1,0.058,0.0635,0.0,0.865,0.2335,0.817,1.0,0.201,1.0,0.105,0.0,0.092,0.0995,0.183,0.817,0.8755,0.0,0.127,0.0205,0.1245,0.8755,0.0,0.406,0.125,1.0
1.9,10,0.9895,0.0225,1.0,0.041,1.0,1.0,0.026,0.927,0.927,1.0,0.0,0.073,1.0,0.86,0.099,0.059,0.0615,0.0,0.865,0.2325,0.817,1.0,0.1905,1.0,0.107,0.0,0.0925,0.099,0.183,0.817,0.8755,0.0005,0.1245,0.0075,0.1245,0.8755,0.0,0.4135,0.1255,1.0
1.9,10,0.9885,0.0215,1.0,0.034,1.0,0.9995,0.026,0.926,0.927,1.0,0.0,0.073,1.0,0.8535,0.1,0.0605,0.0655,0.0,0.8645,0.226,0.817,1.0,0.19,1.0,0.112,0.0,0.0925,0.101,0.183,0.817,0.8755,0.0005,0.126,0.015,0.1245,0.8755,0.0,0.404,0.126,1.0
1.9,10,0.984,0.0305,0.9855,0.042,1.0,0.998,0.0265,0.9215,0.927,1.0,0.0,0.073,1.0,0.841,0.1005,0.056,0.0885,0.0,0.864,0.2435,0.817,1.0,0.2435,1.0,0.1145,0.0,0.093,0.11,0.183,0.817,0.8755,0.0,0.1365,0.0335,0.1245,0.8755,0.0,0.404,0.1295,1.0
1.9,10,0.989,0.024,0.9985,0.036,1.0,1.0,0.0265,0.9255,0.927,1.0,0.0,0.073,1.0,0.8525,0.099,0.056,0.0725,0.0,0.865,0.2375,0.817,1.0,0.2065,1.0,0.105,0.0,0.0915,0.115,0.183,0.817,0.8755,0.001,0.126,0.0145,0.1245,0.8755,0.0,0.3915,0.1305,1.0
1.9,10,0.9895,0.029,0.9965,0.035,1.0,1.0,0.0265,0.926,0.927,1.0,0.0,0.073,1.0,0.8485,0.1,0.0545,0.0705,0.0,0.8645,0.235,0.817,1.0,0.209,1.0,0.1055,0.0005,0.093,0.111,0.183,0.817,0.8755,0.0,0.125,0.0215,0.1245,0.8755,0.0,0.391,0.1245,1.0
1.9,10,0.989,0.025,1.0,0.037,1.0,0.9995,0.0265,0.9255,0.927,1.0,0.0,0.073,1.0,0.8555,0.099,0.055,0.0665,0.0,0.865,0.23,0.817,1.0,0.197,1.0,0.1075,0.0,0.092,0.0995,0.183,0.817,0.8755,0.0005,0.1255,0.01,0.1245,0.8755,0.0,0.3985,0.1255,1.0
1.9,10,0.989,0.0215,1.0,0.037,1.0,1.0,0.026,0.9245,0.927,1.0,0.0,0.073,1.0,0.8545,0.099,0.057,0.0655,0.0,0.8645,0.232,0.817,1.0,0.198,1.0,0.101,0.0,0.0915,0.1055,0.183,0.817,0.8755,0.0,0.1255,0.0155,0.1245,0.8755,0.0,0.4025,0.1255,1.0
1.9,10,0.989,0.023,1.0,0.038,1.0,0.9995,0.0255,0.926,0.927,1.0,0.0,0.073,1.0,0.857,0.099,0.0545,0.064,0.0,0.865,0.2245,0.817,1.0,0.1895,1.0,0.101,0.0,0.0915,0.105,0.1835,0.817,0.8755,0.001,0.1255,0.009,0.1245,0.8755,0.0,0.4025,0.1255,1.0
1.9,20,0.9895,0.021,1.0,0.0295,0.998,1.0,0.0,0.927,0.927,1.0,0.0,0.073,1.0,0.901,0.099,0.0495,0.0495,0.0,0.865,0.183,0.8165,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0915,0.183,0.817,0.6815,0.0,0.1245,0.195,0.1245,0.8755,0.0,0.6805,0.1245,1.0
1.9,20,0.9895,0.021,1.0,0.0295,0.999,1.0,0.0,0.927,0.927,1.0,0.0,0.073,1.0,0.901,0.099,0.0495,0.0495,0.0,0.865,0.183,0.817,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0915,0.183,0.817,0.697,0.0,0.1245,0.1575,0.1245,0.8755,0.0,0.7225,0.1245,1.0
1.9,20,0.9895,0.021,1.0,0.029,0.9985,1.0,0.0,0.927,0.927,1.0,0.0,0.073,1.0,0.901,0.099,0.0495,0.0495,0.0,0.865,0.183,0.817,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0915,0.183,0.817,0.7195,0.0,0.1245,0.161,0.1245,0.8755,0.0,0.7035,0.1245,1.0
1.9,20,0.9895,0.021,1.0,0.029,1.0,1.0,0.0,0.927,0.927,1.0,0.0,0.073,1.0,0.901,0.099,0.0495,0.0495,0.0,0.865,0.183,0.817,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0915,0.183,0.817,0.704,0.0,0.1245,0.133,0.1245,0.8755,0.0,0.702,0.1245,1.0
1.9,20,0.9895,0.021,1.0,0.029,1.0,1.0,0.0,0.927,0.927,1.0,0.0,0.073,1.0,0.901,0.099,0.0495,0.0495,0.0,0.865,0.183,0.817,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0915,0.183,0.817,0.73,0.0,0.1245,0.11,0.1245,0.8755,0.0,0.68,0.1245,1.0
1.9,20,0.9895,0.021,1.0,0.029,1.0,1.0,0.0,0.927,0.927,1.0,0.0,0.073,1.0,0.901,0.099,0.0495,0.0495,0.0,0.865,0.183,0.817,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0915,0.183,0.817,0.7285,0.0,0.1245,0.09,0.1245,0.8755,0.0,0.6755,0.1245,1.0
1.9,20,0.9895,0.021,1.0,0.029,1.0,1.0,0.0,0.927,0.927,1.0,0.0,0.073,1.0,0.9005,0.099,0.0495,0.0495,0.0,0.865,0.183,0.817,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0915,0.183,0.817,0.69,0.0,0.1245,0.141,0.1245,0.8755,0.0,0.691,0.1245,1.0
1.9,20,0.9895,0.021,1.0,0.029,1.0,1.0,0.0,0.927,0.927,1.0,0.0,0.073,1.0,0.901,0.099,0.0495,0.0495,0.0,0.865,0.183,0.817,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0915,0.183,0.817,0.7115,0.0,0.1245,0.145,0.1245,0.8755,0.0,0.693,0.1245,1.0
1.9,20,0.9895,0.021,1.0,0.029,1.0,1.0,0.0,0.927,0.927,1.0,0.0,0.073,1.0,0.901,0.099,0.0495,0.0495,0.0,0.865,0.183,0.816,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0915,0.183,0.817,0.705,0.0,0.1245,0.1245,0.1245,0.8755,0.0,0.669,0.1245,1.0
1.9,20,0.9895,0.021,1.0,0.0295,1.0,1.0,0.0,0.927,0.927,1.0,0.0,0.073,1.0,0.901,0.099,0.0495,0.0495,0.0,0.865,0.183,0.817,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0915,0.183,0.817,0.7115,0.0,0.1245,0.0805,0.1245,0.8755,0.0,0.6725,0.1245,1.0
1.9,20,0.9895,0.021,1.0,0.029,1.0,1.0,0.0,0.927,0.927,1.0,0.0,0.073,1.0,0.901,0.099,0.0495,0.0495,0.0,0.865,0.183,0.817,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0915,0.183,0.817,0.717,0.0,0.1245,0.093,0.1245,0.8755,0.0,0.6925,0.1245,1.0
1.9,20,0.9895,0.021,1.0,0.029,1.0,1.0,0.0,0.927,0.927,1.0,0.0,0.073,1.0,0.901,0.099,0.0495,0.0495,0.0,0.865,0.183,0.817,1.0,0.183,1.0,0.0915,0.0,0.0915,0.0915,0.183,0.817,0.725,0.0,0.1245,0.0655,0.1245,0.8755,0.0,0.6855,0.1245,1.0
1.0,10,0.979,0.0315,0.9855,0.058,0.9805,0.9205,0.0265,0.8175,0.8905,0.927,0.073,0.146,0.9505,0.802,0.2475,0.198,0.099,0.056,0.73,0.2745,0.7255,0.817,0.4575,0.9085,0.366,0.0915,0.366,0.366,0.4575,0.634,0.6265,0.249,0.3735,0.3735,0.6225,0.6295,0.1245,0.8715,0.6225,0.751
1.0,10,0.979,0.0315,0.9855,0.058,0.9805,0.9205,0.0265,0.8175,0.8905,0.927,0.073,0.146,0.9505,0.802,0.2475,0.198,0.099,0.0625,0.73,0.2745,0.7255,0.817,0.4575,0.9085,0.366,0.0915,0.366,0.366,0.4575,0.634,0.6265,0.249,0.3735,0.3735,0.622,0.631,0.1245,0.8715,0.6225,0.751
1.0,10,0.979,0.0315,0.9855,0.058,0.9805,0.9205,0.0265,0.8175,0.8905,0.927,0.073,0.146,0.9505,0.802,0.2475,0.198,0.099,0.06,0.73,0.2745,0.7255,0.817,0.4575,0.9085,0.366,0.0915,0.366,0.366,0.4575,0.634,0.6265,0.249,0.3735,0.3735,0.622,0.63,0.1245,0.8715,0.6225,0.751
1.0,10,0.979,0.0315,0.9855,0.058,0.9805,0.9205,0.0265,0.8175,0.8905,0.927,0.073,0.146,0.9505,0.802,0.2475,0.198,0.099,0.0535,0.73,0.2745,0.7255,0.817,0.4575,0.9085,0.366,0.0915,0.366,0.366,0.4575,0.634,0.6265,0.249,0.3735,0.3735,0.622,0.6325,0.1245,0.8715,0.6225,0.751
1.0,10,0.979,0.0315,0.9855,0.058,0.9805,0.9205,0.0265,0.8175,0.8905,0.927,0.073,0.146,0.9505,0.802,0.2475,0.198,0.099,0.057,0.73,0.2745,0.7255,0.817,0.4575,0.9085,0.366,0.0915,0.366,0.366,0.4565,0.634,0.6265,0.249,0.3735,0.3735,0.6225,0.6345,0.1245,0.8715,0.6225,0.751
1.0,10,0.979,0.0315,0.9855,0.058,0.9805,0.9205,0.0265,0.8175,0.8905,0.927,0.073,0.146,0.9505,0.802,0.2475,0.198,0.099,0.023,0.73,0.2745,0.7255,0.817,0.4575,0.9085,0.366,0.0915,0.366,0.366,0.4575,0.634,0.6265,0.249,0.3735,0.3735,0.6215,0.636,0.1245,0.8715,0.6225,0.751
1.0,10,0.979,0.0315,0.9855,0.058,0.9805,0.9205,0.0265,0.8175,0.8905,0.927,0.073,0.146,0.9505,0.802,0.2475,0.198,0.099,0.045,0.73,0.2745,0.7255,0.817,0.4575,0.9085,0.366,0.0915,0.366,0.366,0.4575,0.634,0.6265,0.249,0.3735,0.3735,0.6225,0.636,0.1245,0.8715,0.6225,0.751
1.0,10,0.979,0.0315,0.9855,0.058,0.9805,0.9205,0.0265,0.8175,0.8905,0.927,0.073,0.146,0.9505,0.802,0.2475,0.198,0.099,0.0425,0.73,0.2745,0.7255,0.817,0.4575,0.9085,0.366,0.0915,0.366,0.366,0.4575,0.634,0.6265,0.249,0.3735,0.3735,0.6225,0.641,0.1245,0.8715,0.6225,0.751
1.0,10,0.979,0.0315,0.9855,0.058,0.9805,0.9205,0.0265,0.8175,0.8905,0.927,0.073,0.146,0.9505,0.802,0.2475,0.198,0.099,0.0465,0.73,0.2745,0.7255,0.817,0.4575,0.9085,0.366,0.0915,0.366,0.366,0.4575,0.634,0.6265,0.249,0.3735,0.3735,0.6195,0.6385,0.1245,0.8715,0.6225,0.751
1.0,10,0.979,0.0315,0.9855,0.058,0.9805,0.9205,0.0265,0.8175,0.8905,0.927,0.073,0.146,0.9505,0.802,0.2475,0.198,0.099,0.042,0.73,0.2745,0.7255,0.817,0.4575,0.9085,0.366,0.0915,0.366,0.366,0.4575,0.634,0.6265,0.249,0.3735,0.3735,0.6195,0.645,0.1245,0.8715,0.6225,0.751
1.0,10,0.979,0.0315,0.9855,0.058,0.9805,0.9205,0.0265,0.8175,0.8905,0.927,0.073,0.146,0.9505,0.802,0.2475,0.198,0.099,0.0395,0.73,0.2745,0.7255,0.817,0.4575,0.9085,0.366,0.0915,0.366,0.366,0.4575,0.634,0.6265,0.249,0.3735,0.3735,0.6215,0.644,0.1245,0.8715,0.6225,0.751
1.0,10,0.979,0.0315,0.9855,0.058,0.9805,0.9205,0.0265,0.8175,0.8905,0.927,0.073,0.146,0.9505,0.802,0.2475,0.198,0.099,0.02,0.73,0.2745,0.7255,0.817,0.4575,0.9085,0.366,0.0915,0.366,0.366,0.4575,0.634,0.6265,0.249,0.3735,0.3735,0.6205,0.646,0.1245,0.8715,0.6225,0.751
1.0,20,0.9825,0.0315,0.9855,0.058,0.9805,0.927,0.0265,0.829,0.926,0.927,0.0,0.146,0.9505,0.802,0.2475,0.1975,0.099,0.0,0.8305,0.2715,0.7255,0.817,0.454,1.0,0.2865,0.07,0.2875,0.3655,0.3435,0.634,0.6265,0.118,0.3735,0.3735,0.6215,0.8755,0.1245,0.8715,0.446,0.7515
1.0,20,0.981,0.0315,0.9855,0.058,0.9805,0.9235,0.0265,0.846,0.927,0.927,0.0,0.146,0.951,0.802,0.2475,0.1975,0.099,0.0,0.8535,0.273,0.7255,0.817,0.443,1.0,0.2435,0.0675,0.285,0.363,0.329,0.634,0.6265,0.053,0.3735,0.3735,0.6215,0.8755,0.1245,0.8715,0.4025,0.7575
1.0,20,0.9815,0.0315,0.9855,0.058,0.9805,0.926,0.0265,0.837,0.9265,0.927,0.0,0.146,0.9505,0.802,0.2475,0.198,0.099,0.0,0.8535,0.2715,0.7255,0.817,0.453,1.0,0.2825,0.0725,0.262,0.363,0.3185,0.634,0.6265,0.1175,0.3735,0.3735,0.6225,0.8755,0.1245,0.8715,0.3975,0.7565
1.0,20,0.985,0.0315,0.9855,0.058,0.9805,0.929,0.0265,0.8475,0.926,0.927,0.0,0.146,0.9515,0.802,0.2475,0.198,0.099,0.0,0.835,0.2735,0.7255,0.817,0.4345,1.0,0.261,0.07,0.28,0.3635,0.324,0.634,0.6265,0.0285,0.3735,0.3735,0.6215,0.8755,0.1245,0.8715,0.398,0.762
1.0,20,0.981,0.0315,0.9855,0.058,0.9805,0.9325,0.0265,0.846,0.927,0.927,0.0,0.146,0.9825,0.802,0.247,0.198,0.099,0.0,0.8575,0.2725,0.7255,0.817,0.4405,1.0,0.2415,0.0845,0.2785,0.36,0.3005,0.634,0.6265,0.085,0.3735,0.3735,0.6215,0.8755,0.1245,0.8715,0.3485,0.775
1.0,20,0.9845,0.0315,0.9855,0.058,0.9805,0.9325,0.0265,0.8735,0.9255,0.927,0.0,0.146,0.9935,0.802,0.2475,0.1975,0.099,0.0,0.8555,0.274,0.7255,0.817,0.4335,1.0,0.218,0.074,0.233,0.363,0.286,0.634,0.6265,0.0165,0.373,0.3735,0.622,0.8755,0.1245,0.8715,0.2915,0.807
1.0,20,0.982,0.0315,0.9855,0.058,0.9805,0.934,0.0265,0.8625,0.926,0.927,0.0,0.146,0.971,0.802,0.2475,0.198,0.099,0.0,0.857,0.273,0.7255,0.817,0.4325,1.0,0.253,0.056,0.2355,0.364,0.304,0.634,0.6265,0.024,0.3735,0.3735,0.622,0.8755,0.1245,0.8715,0.3165,0.772
1.0,20,0.9845,0.0315,0.9855,0.058,0.9805,0.94,0.0265,0.8655,0.926,0.927,0.0,0.146,0.985,0.802,0.2475,0.1975,0.099,0.0,0.855,0.2735,0.7255,0.817,0.4175,1.0,0.2505,0.0635,0.211,0.3585,0.288,0.634,0.6265,0.031,0.373,0.3735,0.62,0.8755,0.1245,0.8715,0.305,0.802
1.0,20,0.984,0.0315,0.9855,0.058,0.9805,0.936,0.0265,0.8895,0.9265,0.927,0.0,0.146,0.972,0.802,0.2475,0.198,0.099,0.0,0.861,0.2735,0.7255,0.817,0.427,1.0,0.226,0.0595,0.228,0.36,0.2925,0.634,0.6265,0.035,0.3735,0.3735,0.621,0.8755,0.1245,0.8715,0.315,0.803
1.0,20,0.983,0.0315,0.9855,0.058,0.9805,0.9315,0.0265,0.8725,0.927,0.927,0.0,0.146,0.9865,0.802,0.2475,0.197,0.099,0.0,0.8585,0.2725,0.7255,0.817,0.4085,1.0,0.2125,0.066,0.2105,0.3605,0.2865,0.634,0.6265,0.0165,0.3735,0.3735,0.6195,0.8755,0.1245,0.8715,0.2945,0.813
1.0,20,0.9845,0.0315,0.9855,0.058,0.9805,0.94,0.0265,0.894,0.9265,0.927,0.0,0.146,0.9995,0.802,0.2475,0.1975,0.099,0.0,0.8535,0.27,0.7255,0.8175,0.415,1.0,0.2165,0.0595,0.178,0.3545,0.2665,0.634,0.6265,0.0175,0.373,0.3735,0.6195,0.8755,0.1245,0.8715,0.26,0.8455
1.0,20,0.9825,0.0315,0.9855,0.058,0.9805,0.9415,0.0265,0.9,0.9265,0.927,0.0,0.146,0.988,0.802,0.2475,0.1965,0.099,0.0,0.8605,0.2695,0.7255,0.817,0.396,1.0,0.2145,0.0555,0.1765,0.3555,0.265,0.634,0.6265,0.0165,0.373,0.3735,0.62,0.8755,0.1245,0.8715,0.243,0.8765
